agent,variant_id,latent_steps,n,ok_rate,score_mean,score_std,cliche_rate,gate_pass_rate,n_distinct_hypotheses,observable_rate,parse_rate,variety_families
construct,construct__git_optimalisasi__e9a6a179b181,0,5,1.0,0.5,0.447,,0.4,3,,0.6,4
construct,construct__git_judger_only__c2dab35a4122,60,5,1.0,0.48,0.169,,0.2,2,,1.0,2
construct,construct__authored_claude_latentpaper__b35f877d9c40,40,5,1.0,0.47,0.166,,0.1,0,,1.0,5
construct,construct__git_optimalisasi__e9a6a179b181,10,5,1.0,0.46,0.408,,0.4,3,,0.6,3
construct,construct__authored_claude_latentpaper__b35f877d9c40,0,5,1.0,0.415,0.23,,0.15,0,,1.0,3
construct,construct__authored_claude_latentpaper__b35f877d9c40,10,5,1.0,0.393,0.229,,0.067,0,,0.8,4
construct,construct__working__56396e7d44b0,20,5,1.0,0.38,0.331,,0.2,0,,0.8,4
construct,construct__git_judger_only__c2dab35a4122,40,5,1.0,0.37,0.248,,0.1,2,,0.8,3
construct,construct__git_judger_only__c2dab35a4122,20,5,1.0,0.353,0.224,,0.067,1,,0.8,4
construct,construct__git_latentmas_foundation__747a96fc92c8,80,5,1.0,0.32,0.392,,0.4,1,,0.4,2
construct,construct__git_judger_only__c2dab35a4122,10,5,1.0,0.273,0.151,,0.067,1,,0.8,0
construct,construct__git_judger_only__c2dab35a4122,80,5,1.0,0.27,0.275,,0.1,1,,0.6,2
construct,construct__git_optimalisasi__e9a6a179b181,80,5,1.0,0.26,0.388,,0.2,2,,0.4,2
construct,construct__authored_claude_latentpaper__b35f877d9c40,60,5,1.0,0.253,0.247,,0.067,1,,0.6,3
construct,construct__git_judger_only__c2dab35a4122,0,5,1.0,0.24,0.12,,0.0,0,,0.8,0
construct,construct__git_latentmas_foundation__747a96fc92c8,10,5,1.0,0.22,0.312,,0.2,2,,0.4,1
construct,construct__working__56396e7d44b0,60,5,1.0,0.22,0.312,,0.2,0,,0.4,0
construct,construct__git_gate_deterministik__5b2d525ce336,10,5,1.0,0.2,0.4,,0.2,0,,0.2,2
construct,construct__git_gate_deterministik__5b2d525ce336,20,5,1.0,0.2,0.4,,0.2,0,,0.2,4
construct,construct__git_latentmas_foundation__747a96fc92c8,0,5,1.0,0.18,0.147,,0.0,3,,0.6,0
construct,construct__authored_claude_latentpaper__b35f877d9c40,80,5,1.0,0.18,0.147,,0.0,0,,0.6,1
construct,construct__git_latentmas_foundation__747a96fc92c8,40,5,1.0,0.16,0.32,,0.2,0,,0.2,1
construct,construct__git_gate_deterministik__5b2d525ce336,40,5,1.0,0.12,0.147,,0.0,0,,0.4,0
construct,construct__git_gate_deterministik__5b2d525ce336,60,5,1.0,0.12,0.147,,0.0,0,,0.4,1
construct,construct__working__56396e7d44b0,10,5,1.0,0.11,0.22,,0.1,0,,0.2,0
construct,construct__git_gate_deterministik__5b2d525ce336,0,5,1.0,0.06,0.12,,0.0,0,,0.2,0
construct,construct__git_latentmas_foundation__747a96fc92c8,20,5,1.0,0.0,0.0,,0.0,0,,0.0,0
construct,construct__git_latentmas_foundation__747a96fc92c8,60,5,1.0,0.0,0.0,,0.0,0,,0.0,0
judger,judger__git_gate_deterministik__6ce003675450,20,5,1.0,0.9,0.122,,0.8,2,,1.0,5
judger,judger__git_gate_deterministik__6ce003675450,10,5,1.0,0.85,0.122,,0.7,5,,1.0,6
judger,judger__git_gate_deterministik__6ce003675450,0,5,1.0,0.8,0.245,,0.6,3,,1.0,5
judger,judger__git_optimalisasi__d5a65cd21336,0,5,1.0,0.8,0.245,,0.6,5,,1.0,4
judger,judger__git_latentmas_foundation__7532a5d914e6,10,5,1.0,0.8,0.0,,1.0,3,,1.0,1
judger,judger__git_optimalisasi__d5a65cd21336,20,5,1.0,0.76,0.256,,0.6,4,,1.0,5
judger,judger__git_judger_retry_fix__14fc2ea49ca8,40,5,1.0,0.76,0.143,,0.6,5,,1.0,4
judger,judger__git_judger_retry_fix__14fc2ea49ca8,20,5,1.0,0.73,0.232,,0.7,5,,1.0,3
judger,judger__git_judger_retry_fix__14fc2ea49ca8,80,5,1.0,0.71,0.227,,0.5,5,,1.0,3
judger,judger__git_gate_deterministik__6ce003675450,40,5,1.0,0.65,0.2,,0.3,4,,1.0,4
judger,judger__git_latentmas_foundation__7532a5d914e6,0,5,1.0,0.64,0.287,,0.6,3,,1.0,3
judger,judger__git_judger_retry_fix__14fc2ea49ca8,60,5,1.0,0.6,0.122,,0.2,5,,1.0,2
judger,judger__working__158c662151be,80,5,1.0,0.6,0.2,,0.2,3,,1.0,2
judger,judger__git_judger_only__831dfc8c17d3,0,5,1.0,0.56,0.171,,0.2,5,,1.0,2
judger,judger__git_judger_retry_fix__14fc2ea49ca8,0,5,1.0,0.56,0.171,,0.2,5,,1.0,4
judger,judger__git_judger_only__831dfc8c17d3,40,5,1.0,0.55,0.0,,0.5,2,,1.0,1
judger,judger__git_optimalisasi__d5a65cd21336,60,5,1.0,0.55,0.1,,0.1,4,,1.0,6
judger,judger__git_judger_only__831dfc8c17d3,20,5,1.0,0.54,0.213,,0.4,5,,1.0,2
judger,judger__git_optimalisasi__d5a65cd21336,10,5,1.0,0.52,0.256,,0.2,4,,1.0,4
judger,judger__authored_claude_latentpaper__495844e659b3,0,5,1.0,0.5,0.0,,0.0,1,,1.0,3
judger,judger__working__158c662151be,0,5,1.0,0.5,0.0,,0.0,4,,1.0,2
judger,judger__authored_claude_latentpaper__495844e659b3,10,5,1.0,0.5,0.0,,0.0,3,,1.0,3
judger,judger__working__158c662151be,10,5,1.0,0.5,0.0,,0.0,2,,1.0,3
judger,judger__authored_claude_latentpaper__495844e659b3,20,5,1.0,0.5,0.0,,0.0,4,,1.0,2
judger,judger__working__158c662151be,20,5,1.0,0.5,0.0,,0.0,2,,1.0,4
judger,judger__authored_claude_latentpaper__495844e659b3,40,5,1.0,0.5,0.0,,0.0,2,,1.0,2
judger,judger__git_optimalisasi__d5a65cd21336,40,5,1.0,0.5,0.0,,0.0,2,,1.0,5
judger,judger__working__158c662151be,40,5,1.0,0.5,0.0,,0.0,2,,1.0,3
judger,judger__authored_claude_latentpaper__495844e659b3,60,5,1.0,0.5,0.0,,0.0,3,,1.0,3
judger,judger__working__158c662151be,60,5,1.0,0.5,0.0,,0.0,3,,1.0,2
judger,judger__git_judger_retry_fix__14fc2ea49ca8,10,5,1.0,0.48,0.169,,0.2,5,,1.0,3
judger,judger__git_judger_only__831dfc8c17d3,60,5,1.0,0.45,0.2,,0.3,4,,1.0,2
judger,judger__git_judger_only__831dfc8c17d3,10,5,1.0,0.44,0.196,,0.2,5,,1.0,2
judger,judger__git_judger_only__831dfc8c17d3,80,5,1.0,0.365,0.13,,0.05,1,,1.0,2
judger,judger__authored_claude_latentpaper__495844e659b3,80,5,1.0,0.34,0.08,,0.0,4,,1.0,4
judger,judger__git_latentmas_foundation__7532a5d914e6,20,5,1.0,0.3,0.0,,0.0,2,,1.0,1
judger,judger__git_latentmas_foundation__7532a5d914e6,40,5,1.0,0.3,0.0,,0.0,3,,1.0,1
judger,judger__git_gate_deterministik__6ce003675450,60,5,0.0,0.0,0.0,,0.0,0,,0.0,0
judger,judger__git_latentmas_foundation__7532a5d914e6,60,5,0.0,0.0,0.0,,0.0,0,,0.0,0
judger,judger__git_gate_deterministik__6ce003675450,80,5,0.0,0.0,0.0,,0.0,0,,0.0,0
judger,judger__git_latentmas_foundation__7532a5d914e6,80,5,0.0,0.0,0.0,,0.0,0,,0.0,0
judger,judger__git_optimalisasi__d5a65cd21336,80,5,0.0,0.0,0.0,,0.0,0,,0.0,0
proposal,proposal__working__258abdbbccea,60,5,1.0,0.84,0.12,0.0,,,0.8,,
proposal,proposal__working__258abdbbccea,40,5,1.0,0.78,0.24,0.2,,,0.8,,
proposal,proposal__working__258abdbbccea,10,5,1.0,0.72,0.24,0.2,,,0.8,,
proposal,proposal__working__258abdbbccea,20,5,1.0,0.72,0.147,0.0,,,1.0,,
proposal,proposal__authored_claude_latentpaper__ba50514169e6,40,5,1.0,0.66,0.12,0.0,,,0.2,,
proposal,proposal__authored_claude_latentpaper__ba50514169e6,60,5,1.0,0.66,0.12,0.0,,,0.2,,
proposal,proposal__authored_claude_latentpaper__ba50514169e6,80,5,1.0,0.66,0.12,0.0,,,0.2,,
proposal,proposal__working__258abdbbccea,80,5,1.0,0.66,0.12,0.4,,,0.6,,
proposal,proposal__authored_claude_latentpaper__ba50514169e6,0,5,1.0,0.6,0.0,0.0,,,0.0,,
proposal,proposal__working__258abdbbccea,0,5,1.0,0.6,0.19,0.4,,,1.0,,
proposal,proposal__authored_claude_latentpaper__ba50514169e6,10,5,1.0,0.6,0.19,0.2,,,0.2,,
proposal,proposal__authored_claude_latentpaper__ba50514169e6,20,5,1.0,0.6,0.0,0.0,,,0.0,,
proposal,proposal__git_negative_memory__28c5ff48db7a,20,5,1.0,0.6,0.0,0.0,,,0.0,,
proposal,proposal__git_gate_deterministik__f7ae36f32f36,40,5,1.0,0.6,0.0,0.0,,,0.0,,
proposal,proposal__git_negative_memory__28c5ff48db7a,0,5,1.0,0.54,0.12,0.2,,,0.0,,
proposal,proposal__git_gate_deterministik__f7ae36f32f36,20,5,1.0,0.54,0.12,0.0,,,0.0,,
proposal,proposal__git_negative_memory__28c5ff48db7a,40,5,1.0,0.54,0.12,0.2,,,0.0,,
proposal,proposal__git_gate_deterministik__f7ae36f32f36,60,5,1.0,0.54,0.12,0.2,,,0.0,,
proposal,proposal__git_negative_memory__28c5ff48db7a,60,5,1.0,0.54,0.12,0.2,,,0.0,,
proposal,proposal__authored_mixed_scoped__mix3a1b2c3d,60,3,1.0,0.5,0.374,0.667,,,0.667,,
proposal,proposal__git_gate_deterministik__f7ae36f32f36,0,5,1.0,0.48,0.147,0.2,,,0.0,,
proposal,proposal__git_negative_memory__28c5ff48db7a,10,5,1.0,0.48,0.147,0.4,,,0.0,,
proposal,proposal__git_negative_memory__28c5ff48db7a,80,5,1.0,0.48,0.147,0.2,,,0.0,,
proposal,proposal__git_gate_deterministik__f7ae36f32f36,10,5,1.0,0.42,0.24,0.2,,,0.0,,
proposal,proposal__git_judger_retry_fix__23293d0f02bf,20,5,1.0,0.42,0.24,0.2,,,0.0,,
proposal,proposal__git_judger_retry_fix__23293d0f02bf,60,5,1.0,0.42,0.147,0.0,,,0.0,,
proposal,proposal__git_judger_retry_fix__23293d0f02bf,0,5,1.0,0.36,0.224,0.4,,,0.0,,
proposal,proposal__git_judger_retry_fix__23293d0f02bf,10,5,1.0,0.36,0.12,0.2,,,0.0,,
proposal,proposal__git_judger_retry_fix__23293d0f02bf,40,5,1.0,0.36,0.12,0.2,,,0.0,,
proposal,proposal__git_judger_retry_fix__23293d0f02bf,80,5,1.0,0.36,0.12,0.2,,,0.0,,
proposal,proposal__git_latentmas_foundation__f3263c479f4d,0,5,1.0,0.3,0.0,0.0,,,0.0,,
proposal,proposal__git_latentmas_foundation__f3263c479f4d,10,5,1.0,0.3,0.0,0.0,,,0.0,,
proposal,proposal__git_judger_only__a82fbd3a73c5,20,5,1.0,0.3,0.0,0.4,,,0.0,,
proposal,proposal__git_latentmas_foundation__f3263c479f4d,20,5,1.0,0.3,0.0,0.0,,,0.0,,
proposal,proposal__git_judger_only__a82fbd3a73c5,40,5,1.0,0.3,0.19,0.8,,,0.0,,
proposal,proposal__git_latentmas_foundation__f3263c479f4d,40,5,1.0,0.3,0.0,0.0,,,0.0,,
proposal,proposal__git_latentmas_foundation__f3263c479f4d,60,5,1.0,0.3,0.0,0.0,,,0.0,,
proposal,proposal__git_latentmas_foundation__f3263c479f4d,80,5,1.0,0.3,0.0,0.0,,,0.0,,
proposal,proposal__git_judger_only__a82fbd3a73c5,10,5,1.0,0.24,0.12,1.0,,,0.0,,
proposal,proposal__git_judger_only__a82fbd3a73c5,0,5,1.0,0.18,0.147,0.8,,,0.0,,
proposal,proposal__git_gate_deterministik__f7ae36f32f36,80,5,1.0,0.18,0.147,0.8,,,0.0,,
proposal,proposal__git_judger_only__a82fbd3a73c5,60,5,1.0,0.12,0.147,1.0,,,0.0,,
proposal,proposal__git_judger_only__a82fbd3a73c5,80,5,1.0,0.12,0.147,0.8,,,0.0,,
